"","time","product_type","target_length","target_thickness","target_width","glue_type_specification","board_m3_per_hour","board_m3_per_hour_specification","is_nose_closed","line_speed","line_speed_specification","cost_urea_flow_indicator","cost_urea_flow_indicator_specification","cost_hardenener_flow_indicator","cost_hardenener_flow_indicator_specification","cost_emulsion_flow_indicator","cost_emulsion_flow_indicator_specification","cost_color_flow_indicator","cost_color_flow_indicator_specification","cost_water_flow_indicator","cost_water_flow_indicator_specification","cost_softwood_no_bark_indicator","cost_softwood_no_bark_indicator_specification","cost_sawdust_indicator","cost_sawdust_indicator_specification","cost_softwood_with_bark_indicator","cost_softwood_with_bark_indicator_specification","cost_hardwood_indicator","cost_hardwood_indicator_specification","cost_dust_wood_indicator","cost_dust_wood_indicator_specification","cost_trims_wood_indicator","cost_trims_wood_indicator_specification","cost_rejects_mix_wood_indicator","cost_rejects_mix_wood_indicator_specification","cost_additive_indicator","cost_additive_indicator_specification","cost_glue_indicator","cost_glue_indicator_specification","cost_wood_indicator","cost_wood_indicator_specification","cost_fixed_indicator","cost_fixed_indicator_specification","cost_indicator","cost_indicator_specification","cost_indicator_all","cost_indicator_all_specification","cost_black_flow_indicator","cost_black_flow_indicator_specification","cost_blue_flow_indicator","cost_blue_flow_indicator_specification","cost_color_indicator","cost_color_indicator_specification","cost_gluemix_indicator","cost_gluemix_indicator_specification","cost_refiner_electrical_energy_consumption_flow_indicator","cost_refiner_electrical_energy_consumption_flow_indicator_specification","cost_dryer_electrical_energy_consumption_flow_indicator","cost_dryer_electrical_energy_consumption_flow_indicator_specification","cost_steam_flow_with_3bar_for_precooker_indicator","cost_steam_flow_with_3bar_for_precooker_indicator_specification","cost_steam_flow_with_13bar_for_cooker_and_refiner_indicator","cost_steam_flow_with_13bar_for_cooker_and_refiner_indicator_specification","cost_steam_flow_with_0_5_bar_for_dryer_indicator","cost_steam_flow_with_0_5_bar_for_dryer_indicator_specification","cost_steam_flow_with_6bar_for_dryer_indicator","cost_steam_flow_with_6bar_for_dryer_indicator_specification","cost_steam_flow_with_27bar_for_dryer_indicator","cost_steam_flow_with_27bar_for_dryer_indicator_specification","cost_energy_indicator","cost_energy_indicator_specification","cost_electrical_energy_indicator","cost_electrical_energy_indicator_specification","cost_thermal_energy_indicator","cost_thermal_energy_indicator_specification","cost_refiner_electrical_energy_indicator","cost_refiner_electrical_energy_indicator_specification","cost_dryer_electrical_energy_indicator","cost_dryer_electrical_energy_indicator_specification","cost_flour_wood_indicator","cost_flour_wood_indicator_specification"
"7207",2024-02-10 17:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,TRUE,183.903088693949,235.521597253159,-0.253512888583377,0,-0.0437167069854191,0,1.02591417144496,0,NA,NA,0,0,-33.5578189562792,0,-14.0134234050907,0,27.4630431969232,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.213893451089365,0,-6.55965078407765,0,-15.8402538619108,0,4.91105036464502,0,-7.09496224004938,0,191.759251644818,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-5.68483332600371,0,NA,NA,NA,NA,0.586318853876037,0,1.33918091244393,0,0.826933007609435,0,0.658469544914943,0,-0.751958293090841,0,-0.605203122069795,0,-2.26815673392131,0,2.40064728485902,0,1.63849658300612,0,-2.50623257351436,0,3.44216810477425,0
"7208",2024-02-10 18:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,TRUE,183.903088693949,235.521597253159,0.0844351854980412,0,-0.0101919878955978,0,0.997215330416788,0,NA,NA,0,0,-25.9000164545598,0,-14.0134234050907,0,30.5997229551651,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.479413186448606,0,-1.31156201490397,0,-3.85689042372195,0,4.91105036464502,0,1.70562297560029,0,202.435274463932,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-1.05239550058078,0,NA,NA,NA,NA,0.61872905082164,0,1.30422048591114,0,0.950727747451566,0,0.722480780585139,0,-0.604001026941982,0,-0.730177256480974,0,-2.76260303881443,0,2.62433930952681,0,1.62058026721633,0,-2.86732139851447,0,3.43715250778195,0
"7209",2024-02-10 19:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,TRUE,183.903088693949,235.521597253159,0.295653041199737,0,0.0161488613860989,0,1.02591417144496,0,NA,NA,0,0,-19.5128664591147,0,-14.0134234050907,0,33.2159383172847,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.68067566687584,0,3.26655897750674,0,6.08833645567694,0,4.91105036464502,0,9.4508179792171,0,211.83099947209,98.5141258913247,0.0104545713374122,0,0,0,NA,0,2.94289410283672,0,NA,NA,NA,NA,0.637094812474255,0,1.21891681656195,0,0.914469123397805,0,0.923208848974881,0,-0.63353659057513,0,-0.329781272559715,0,-2.30404087524972,0,2.61381523732919,0,2.28704496331098,0,-2.92287352543756,0,3.38198267441779,0
"7210",2024-02-10 20:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,TRUE,183.903088693949,235.521597253159,0.0633135413682411,0,-0.0125865978021196,0,0.939818068751563,0,NA,NA,0,0,-25.9827083525382,0,-14.0134234050907,0,30.5658506796072,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.422071435865152,0,-1.53488303691887,0,-4.04017791769788,0,4.91105036464502,0,1.71916352666041,0,202.451700557034,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-1.31893583905806,0,NA,NA,NA,NA,0.642496523834161,0,1.26226775283711,0,0.850355584702932,0,1.01478553524665,0,-0.619560782767862,0,-0.337424740989323,0,-2.39803716626206,0,2.66749504419889,0,1.5023372589985,0,-2.5221046097781,0,3.38198267441779,0
"7211",2024-02-10 21:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,FALSE,183.903088693949,235.521597253159,0.0633135413682411,0,-0.0101919878955978,0,0.997215330416788,0,NA,NA,0,0,-25.660447371138,0,-14.0134234050907,0,30.6978510189486,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.46289407809164,0,-0.976578126522506,0,-3.46716552612198,0,4.91105036464502,0,1.90100550494081,0,202.672293740558,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-0.807165226047407,0,NA,NA,NA,NA,0.617648737035191,0,1.13081618772382,0,0.857234627566212,0,0.884543338849433,0,-0.648723636492094,0,-0.951008077505532,0,-2.71557462220277,0,2.44196925539321,0,1.95022983582929,0,-3.03000977021781,0,3.45219886537106,0
"7212",2024-02-10 22:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.8824954891343,42.1432521127198,TRUE,183.903088693949,235.521597253159,0.0633135413682411,0,-0.0157794310550948,0,1.02591417144496,0,NA,NA,0,0,-26.4465763138517,0,-14.0134234050907,0,30.3758474547197,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.479080156976642,0,-1.64654119256717,0,-4.70274186949844,0,4.91105036464502,0,1.0913113476768,0,201.690050731981,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-1.32302912879411,0,NA,NA,NA,NA,0.637094812474255,0,1.26086936527375,0,0.799342944173645,0,0.911923931882916,0,-0.636424931149241,0,-0.762096369257521,0,-2.68744954487118,0,2.55509459459378,0,1.76748873573303,0,-2.89906547104195,0,3.44718326837876,0
"7213",2024-02-10 23:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",47.0309414690729,42.1432521127198,TRUE,169.822969796865,235.521597253159,0.00505552455766484,0,-0.0175656403885126,0,1.36117668506922,0,NA,NA,0,0,-27.7806449396932,0,-14.0134234050907,0,29.8294050697116,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.662142330188434,0,-2.5311646573096,0,-6.56068980337436,0,11.8959409790163,0,5.80410259210907,0,207.407155405636,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-1.7604069401713,0,NA,NA,NA,NA,0.936486582282506,0,1.42202175143206,0,1.05036511553865,0,0.941009308636346,0,-0.697991891299041,0,0.894028719575514,0,-1.65794634632843,0,3.05562979812728,0,1.93136181204052,0,-2.22327413347679,0,3.68344292581714,0
"7214",2024-02-11,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",47.0309414690729,42.1432521127198,TRUE,169.822969796865,235.521597253159,0.0740014240052901,0,-0.00106402504597794,0,1.39240304784606,0,NA,NA,0,0,-23.621700624548,0,-14.0134234050907,0,31.5329337671461,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.747739113840988,0,0.506226280214745,0,-0.0339038867469992,0,11.8959409790163,0,10.6941805016599,0,213.339327195391,98.5141258913247,0.0104545713374122,0,0,0,NA,0,0.818034473210634,0,NA,NA,NA,NA,0.87183486569846,0,1.4113705402868,0,1.13935074202331,0,1.14834433808923,0,-0.57735232072999,0,0.916437608275732,0,-1.98327656901862,0,3.27524566429659,0,1.73252836331412,0,-2.34848087000381,0,3.69981442388867,0
"7215",2024-02-11 01:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",47.0309414690729,42.1432521127198,TRUE,169.822969796865,235.521597253159,0.119965485217955,0,-0.0106175849359961,0,1.39240304784606,0,NA,NA,0,0,-25.577923939951,0,-14.0134234050907,0,30.7316548074148,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.777737585224303,0,-0.70873419526994,0,-3.14961017755306,0,11.8959409790163,0,8.27075804262499,0,210.399464352292,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-0.116498104678495,0,NA,NA,NA,NA,0.917678873582693,0,1.39767644118435,0,1.0779662815952,0,1.0587674988078,0,-0.622364062107803,0,0.509981912994085,0,-2.24935505588495,0,3.16081574329384,0,1.1048362205275,0,-2.17146444939664,0,3.64524260646475,0
"7216",2024-02-11 02:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",43.5295311520754,42.1432521127198,FALSE,157.022870586518,235.521597253159,-3.18943768826806,0,-0.340649979025047,0,-3.13539759886646,0,NA,NA,0,0,-98.3446742116571,0,-14.0134234050907,0,0.925962095158534,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,-5.11872735684518,0,-53.6807915509925,0,-120.239262807251,0,19.4063929724989,0,-83.888734188877,0,98.6004398610687,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-51.7236641674958,0,NA,NA,NA,NA,-0.247994302120911,0,0.618833273156392,0,1.02248249765102,0,0.749131028671464,0,-0.734537299722851,0,-8.93992081696165,0,-9.92348009017979,0,1.43386049808956,0,-6.52181447784941,0,-3.36070111696812,0,0.392787846361197,0
"7217",2024-02-11 03:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",47.0309414690729,42.1432521127198,FALSE,169.822969796865,235.521597253159,-3.18943768826806,0,-0.340649979025047,0,-3.13539759886646,0,NA,NA,0,0,-28.7039054754936,0,-14.0134234050907,0,29.4512313662706,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,-5.11872735684518,0,-53.6807915509925,0,-11.2169191962843,0,11.8959409790163,0,-32.5722966690482,0,160.852602022186,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-51.7236641674958,0,NA,NA,NA,NA,0.897695552332078,0,2.07782318264398,0,0.880977814695523,0,0.584513407900943,0,-0.760440608265505,0,-6.37562247535728,0,-10.0418980751824,0,3.28323621985222,0,-6.03369564887449,0,-3.74302486649444,0,0.392787846361197,0
"7218",2024-02-11 04:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",47.0309414690729,42.1432521127198,TRUE,169.822969796865,235.521597253159,0.0510195857703297,0,-0.00974910526641852,0,1.29872441693074,0,NA,NA,0,0,-25.6224638952343,0,-14.0134234050907,0,30.7134104257496,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.660163235563209,0,-1.1947122347514,0,-3.20868799935753,0,11.8959409790163,0,8.071799750849,0,210.158107304891,98.5141258913247,0.0104545713374122,0,0,0,NA,0,-0.685658228809915,0,NA,NA,NA,NA,0.995260933483549,0,1.44788860595793,0,0.911328579956714,0,1.11976019087541,0,-0.591241072672108,0,0.7768123395709,0,-1.98456742292031,0,3.17940276195102,0,2.0327285719473,0,-2.52981476428432,0,3.65615725288343,0
"7219",2024-02-11 05:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.5323544574345,42.1432521127198,TRUE,182.623078772914,235.521597253159,0.321487663089616,0,0.0123608123609405,0,1.02784996828791,0,NA,NA,0,0,-20.0300905725228,0,-14.0134234050907,0,33.0040796017931,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.699848155842011,0,2.67629786002789,0,5.30024465674043,0,5.49896881204452,0,9.70155512629713,0,212.135169642395,98.5141258913247,0.0104545713374122,0,0,0,NA,0,2.49580534684475,0,NA,NA,NA,NA,1.0235274237411,0,1.25240537710606,0,0.758255741467874,0,1.26863567768146,0,-0.546814180116116,0,0.426556151399731,0,-2.09051283391458,0,3.00341245508329,0,2.01295925520689,0,-2.59761444250877,0,3.40414127060154,0
"7220",2024-02-11 06:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.5323544574345,42.1432521127198,TRUE,182.623078772914,235.521597253159,0.129982643924652,0,0.00431956895732417,0,1.05676155089563,0,NA,NA,0,0,-22.8211367254019,0,-14.0134234050907,0,31.8608502788787,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.564876943402987,0,0.988962411239583,0,0.980174013163117,0,5.49896881204452,0,6.12951120164818,0,207.80190980615,98.5141258913247,0.0104545713374122,0,0,0,NA,0,0.931626681993606,0,NA,NA,NA,NA,0.935371186063563,0,1.22000311410582,0,0.800144539178293,0,1.27944540447568,0,-0.597030747289994,0,-0.202505515973884,0,-2.65618623045931,0,2.92284617934527,0,1.63755072070469,0,-2.79748561811711,0,3.45466773180935,0
"7221",2024-02-11 07:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.5323544574345,42.1432521127198,TRUE,182.623078772914,235.521597253159,0.151260860646715,0,-0.00372171483202379,0,1.02784996828791,0,NA,NA,0,0,-24.2916954515538,0,-14.0134234050907,0,31.2584981828078,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.556698986618717,0,-0.0234436036717771,0,-1.29733256915425,0,5.49896881204452,0,4.64030909934296,0,205.995353169642,98.5141258913247,0.0104545713374122,0,0,0,NA,0,0.102879884721032,0,NA,NA,NA,NA,0.734026801543678,0,1.23690852957532,0,0.879151824224253,0,1.1268046708203,0,-0.573095742634034,0,0.0405539597611758,0,-2.215648207027,0,2.81471699079398,0,2.00934991699424,0,-2.68955518328861,0,3.47993074411302,0
"7222",2024-02-11 08:00:00,"YADFBLJK",6544.37268527199,27.1924431424588,3017.60885918373,"MD",50.847479248873,42.1432521127198,TRUE,183.775079889285,235.521597253159,0.192532837938629,0,0.00363087778321121,0,1.02897865278746,0,NA,NA,0,0,-22.6744819724125,0,-14.0134234050907,0,31.920921770191,0,-1.65150589970819,0,-0.212523445167398,0,0,0,0.436059573013703,0,0.594330002146054,0,1.07361788050408,0,1.21444948239027,0,4.96945613995063,0,6.07779651103754,0,207.739174521675,98.5141258913247,0.0104545713374122,0,0,0,NA,0,1.04429889687357,0,NA,NA,NA,NA,0.711267664446824,0,1.20055197547435,0,0.958417739542393,0,1.41340967199717,0,-0.540371157689775,0,-0.0246705320734247,0,-2.59511407098449,0,3.00763373418252,0,1.92311364084859,0,-2.9231245864316,0,3.45947117339789,0
